time,quat w,quat x,quat y,quat z,acc x,acc y,acc z
2019-07-04 20:50:12.313515,-0.21,0.11,0.23,-0.94,-457,-1704,3751
2019-07-04 20:50:12.333518,-0.21,0.11,0.23,-0.94,-558,-1464,3773
2019-07-04 20:50:12.353525,-0.21,0.13,0.23,-0.94,-1406,-1866,3716
2019-07-04 20:50:12.370528,-0.20,0.13,0.23,-0.94,-2062,-2346,3626
2019-07-04 20:50:12.391532,-0.21,0.13,0.23,-0.94,-2250,-2425,3531
2019-07-04 20:50:12.411536,-0.21,0.13,0.22,-0.94,-2147,-2712,3456
2019-07-04 20:50:12.432541,-0.21,0.13,0.22,-0.94,-1980,-2586,3497
2019-07-04 20:50:12.452545,-0.22,0.12,0.22,-0.94,-1836,-2461,3541
2019-07-04 20:50:12.473550,-0.22,0.11,0.21,-0.95,-1639,-2431,3553
2019-07-04 20:50:12.493573,-0.22,0.11,0.21,-0.95,-1769,-2714,3540
2019-07-04 20:50:12.513559,-0.22,0.10,0.20,-0.95,-2030,-2707,3526
2019-07-04 20:50:12.533582,-0.22,0.10,0.19,-0.95,-2052,-2521,3525
2019-07-04 20:50:12.551586,-0.23,0.08,0.18,-0.95,-1560,-2216,3576
2019-07-04 20:50:12.571590,-0.23,0.07,0.18,-0.96,-1014,-2075,3676
2019-07-04 20:50:12.592577,-0.23,0.06,0.17,-0.96,-927,-1968,3682
2019-07-04 20:50:12.612599,-0.23,0.05,0.16,-0.96,-1276,-1894,3645
2019-07-04 20:50:12.632585,-0.22,0.04,0.15,-0.96,-1361,-1730,3620
2019-07-04 20:50:12.652591,-0.22,0.03,0.15,-0.96,-910,-1688,3754
2019-07-04 20:50:12.673595,-0.22,0.02,0.14,-0.97,-464,-1651,3907
2019-07-04 20:50:12.693599,-0.21,0.01,0.13,-0.97,-363,-1735,4031
2019-07-04 20:50:12.714604,-0.20,0.00,0.12,-0.97,-583,-1481,4124
2019-07-04 20:50:12.731608,-0.20,-0.00,0.11,-0.97,-839,-1059,4181
2019-07-04 20:50:12.751613,-0.19,-0.01,0.10,-0.98,-777,-1050,4189
2019-07-04 20:50:12.772619,-0.17,-0.02,0.10,-0.98,-593,-1193,4216
2019-07-04 20:50:12.792622,-0.16,-0.03,0.09,-0.98,-344,-1043,4303
2019-07-04 20:50:12.812627,-0.15,-0.04,0.08,-0.98,-26,-657,4413
2019-07-04 20:50:12.833632,-0.14,-0.04,0.08,-0.99,124,-417,4410
2019-07-04 20:50:12.853637,-0.12,-0.04,0.08,-0.99,-242,-630,4256
2019-07-04 20:50:12.873640,-0.11,-0.04,0.07,-0.99,-875,-885,4197
2019-07-04 20:50:12.891645,-0.10,-0.05,0.07,-0.99,-807,-806,4286
2019-07-04 20:50:12.911649,-0.09,-0.06,0.06,-0.99,-83,-474,4430
2019-07-04 20:50:12.932654,-0.08,-0.06,0.05,-0.99,359,-295,4573
2019-07-04 20:50:12.952658,-0.06,-0.06,0.05,-0.99,230,-278,4654
2019-07-04 20:50:12.972662,-0.05,-0.05,0.05,-1.00,-77,-312,4454
2019-07-04 20:50:12.992667,-0.03,-0.05,0.05,-1.00,-405,-522,4354
2019-07-04 20:50:13.013671,-0.01,-0.05,0.05,-1.00,-364,-364,4290
2019-07-04 20:50:13.033676,-0.00,-0.05,0.04,-1.00,-187,67,4333
2019-07-04 20:50:13.050681,0.01,-0.05,0.04,-1.00,115,208,4378
2019-07-04 20:50:13.071685,0.02,-0.05,0.04,-1.00,-43,-129,4359
2019-07-04 20:50:13.091689,0.03,-0.04,0.03,-1.00,-395,-521,4281
2019-07-04 20:50:13.112694,0.04,-0.04,0.03,-1.00,-568,-638,4324
2019-07-04 20:50:13.132698,0.05,-0.04,0.03,-1.00,-652,-656,4339
2019-07-04 20:50:13.152703,0.06,-0.04,0.02,-1.00,-623,-396,4419
2019-07-04 20:50:13.172707,0.07,-0.03,0.01,-1.00,-552,-23,4554
2019-07-04 20:50:13.193731,0.08,-0.03,0.01,-1.00,-408,145,4641
2019-07-04 20:50:13.213734,0.09,-0.03,0.01,-1.00,-269,375,4646
2019-07-04 20:50:13.231739,0.10,-0.02,0.00,-0.99,-437,535,4641
2019-07-04 20:50:13.251743,0.11,-0.01,0.01,-0.99,-478,362,4555
2019-07-04 20:50:13.271748,0.13,-0.01,0.01,-0.99,-175,53,4507
2019-07-04 20:50:13.291752,0.14,0.00,0.01,-0.99,72,-26,4464
2019-07-04 20:50:13.312757,0.16,0.01,0.01,-0.99,18,129,4445
2019-07-04 20:50:13.332761,0.18,0.03,0.01,-0.98,-205,288,4281
2019-07-04 20:50:13.353750,0.21,0.05,0.02,-0.98,-731,373,4205
2019-07-04 20:50:13.373753,0.23,0.06,0.02,-0.97,-1144,479,4145
2019-07-04 20:50:13.394757,0.25,0.07,0.03,-0.97,-1437,436,3918
2019-07-04 20:50:13.411761,0.26,0.09,0.03,-0.96,-2018,79,3889
2019-07-04 20:50:13.432780,0.27,0.09,0.04,-0.96,-2142,-149,3918
2019-07-04 20:50:13.452789,0.28,0.10,0.04,-0.95,-1847,-33,4005
2019-07-04 20:50:13.472793,0.29,0.10,0.04,-0.95,-1633,280,4063
2019-07-04 20:50:13.492798,0.30,0.11,0.04,-0.95,-1713,366,4113
2019-07-04 20:50:13.512784,0.31,0.11,0.04,-0.94,-1676,223,4143
2019-07-04 20:50:13.533807,0.32,0.12,0.04,-0.94,-1323,331,4276
2019-07-04 20:50:13.553811,0.34,0.13,0.04,-0.93,-696,530,4429
2019-07-04 20:50:13.570815,0.35,0.14,0.04,-0.92,-460,754,4316
2019-07-04 20:50:13.591802,0.38,0.16,0.05,-0.91,-1214,923,4045
2019-07-04 20:50:13.611806,0.40,0.18,0.07,-0.90,-1965,793,3815
2019-07-04 20:50:13.631829,0.43,0.19,0.08,-0.88,-2146,519,3726
2019-07-04 20:50:13.652816,0.45,0.21,0.08,-0.86,-1983,507,3721
2019-07-04 20:50:13.672820,0.47,0.22,0.09,-0.85,-1697,757,3748
2019-07-04 20:50:13.693825,0.50,0.24,0.10,-0.82,-1529,1224,3621
2019-07-04 20:50:13.713847,0.54,0.27,0.11,-0.79,-2012,2001,3482
2019-07-04 20:50:13.734852,0.58,0.29,0.12,-0.75,-2615,2545,3406
