n,r,theta,phi
0,1.0,83.62643743127087,-29.020194933943504
1,1.0,83.62643743127087,-29.020194933943504
2,0.9999999999999999,81.47908507071332,-29.582070748895713
3,0.9999999999999999,81.17526063181775,-29.56823519365662
4,0.9999999999999999,81.47908507071332,-29.582070748895713
5,0.9999999999999998,81.19503330276346,-28.497691189938905
6,0.9999999999999998,81.19503330276346,-28.497691189938905
7,1.0,82.56084484804612,-28.2173558547293
8,1.0000000000000002,83.3515004430753,-26.567612683671108
9,1.0000000000000002,83.3515004430753,-26.567612683671108
10,1.0000000000000002,84.15093150932503,-25.203573845321255
11,1.0,83.87371856852927,-24.113897085701556
12,1.0,86.00877453410885,-22.45366445913627
13,0.9999999999999999,87.07674909860258,-21.955135664980418
14,1.0000000000000002,87.89431863837136,-20.596028311148384
15,0.9999999999999999,88.71979627195557,-19.233935790792067
16,0.9999999999999998,89.37752078064176,-17.90453188747253
17,0.9999999999999999,90.48448790362158,-17.650623886615787
18,0.9999999999999999,91.29441682737885,-16.134147837138997
19,0.9999999999999999,92.0132000932656,-14.835590135223223
20,1.0,92.76425661337426,-13.542808556684793
21,0.9999999999999998,92.53961730568365,-12.42231010036063
22,1.0,93.28039003145824,-11.025926994039322
23,1.0000000000000002,94.19906755514691,-10.939138597498353
24,1.0,95.05087128083123,-9.688508591486508
25,1.0,95.93155817778067,-8.448267379146241
26,0.9999999999999999,95.78660231873843,-8.442881781828985
27,0.9999999999999998,95.63291479604813,-8.57762134988275
28,0.9999999999999998,95.43538504931477,-7.501721700112608
29,0.9999999999999999,96.50461300713573,-7.455584560956343
30,0.9999999999999999,97.48108700085027,-6.282492088161383
31,0.9999999999999999,97.33932206770379,-5.210236383886481
32,0.9999999999999999,97.24347973104578,-5.364539616364219
33,0.9999999999999997,95.98213494656208,-5.440332031005506
34,1.0,95.8771517828652,-5.563023785066256
35,1.0,95.76724436462732,-5.681517669794798
36,1.0000000000000002,95.71565775137313,-4.592671150162697
37,0.9999999999999998,95.66921558188254,-4.64936454580006
38,1.0000000000000002,95.62166327046808,-4.705096977266241
39,0.9999999999999998,94.46988049724526,-3.5763343749973515
40,1.0000000000000002,94.4324174271192,-3.6195325456235383
41,1.0,94.39413210192258,-3.6619355755198026
42,0.9999999999999999,94.42579263467776,-2.5610435289603726
43,1.0,93.33973030654434,-1.3809038571683723
44,0.9999999999999996,93.32335767398648,-1.4130169556926169
45,0.9999999999999999,93.30637782561435,-1.4447466435954535
46,1.0,92.29128494358791,-0.23156701038756639
47,1.0,91.01618156789011,-1.2704642693301522
48,1.0,90.98830352840392,-1.2873289415250384
49,0.9999999999999998,89.83953951555571,-1.1347620046404363
50,1.0000000000000002,88.6898123241315,-0.9458215261513583
51,1.0,86.40007037827687,-0.5083581660421492
52,1.0,83.93720224699118,-1.041002835721468
53,0.9999999999999999,82.76859985270218,-0.6482979840735644
54,1.0,81.40637740132686,-1.3322198538696384
55,0.9999999999999999,79.1207544935546,-0.63126849627687
56,0.9999999999999998,78.83781192575026,-1.6402310879974176
57,1.0000000000000002,77.64283838648281,-1.182041691345759
58,0.9999999999999998,77.66750653833185,-1.0576480892474176
59,0.9999999999999999,76.61081378847949,-0.5853472226266565
60,0.9999999999999998,76.51806821679777,-0.41517954114486477
61,0.9999999999999998,75.48114425985122,0.09450841657687258
62,1.0,74.37921124806087,0.8337674551364155
63,1.0,73.23447570662786,1.4748424975900363
64,0.9999999999999999,70.79175153646914,1.8558213511383317
65,0.9999999999999997,67.8367960555184,1.1056031124713603
66,1.0,66.26697181819243,1.4121099750760737
67,0.9999999999999999,64.12370485998414,3.299402261626987
68,1.0000000000000002,62.70023791497586,3.471350018437228
69,1.0,60.09351482406603,5.080790130419625
70,0.9999999999999997,56.97407301848402,8.07119087508823
71,0.9999999999999997,54.851555038652805,11.056412980248187
72,0.9999999999999998,53.41022921100077,12.75857166738327
73,0.9999999999999999,52.30164404577484,15.207633400227612
74,1.0,51.80824807097427,16.11670732241613
75,1.0,50.18548327899439,18.10198859664766
76,1.0,50.22369344136726,19.84293987546878
77,0.9999999999999999,49.51774152953596,22.780873035009115
78,1.0000000000000002,49.45651603039698,23.95484495094092
79,1.0000000000000002,48.98242250785511,24.58252731599361
80,0.9999999999999999,49.52397343334814,25.715987455969376
81,1.0,49.79141392794767,28.10761670322118
82,0.9999999999999999,50.853722158477034,28.411477483636837
83,1.0,50.5269648642785,29.05098168146087
84,1.0,51.253367595714906,30.000786729801384
85,1.0,50.38369200878287,30.28658150171688
86,1.0000000000000002,50.13318545146212,30.96375653207352
87,1.0000000000000002,49.08537288620992,32.05147155956206
88,0.9999999999999998,49.44677239348025,32.5707209619702
89,0.9999999999999997,47.902228361677686,32.17880298713013
90,1.0,45.61400976092619,34.45262831935043
91,1.0,45.61400976092619,34.45262831935043
92,0.9999999999999998,44.59445119237952,34.44320386774698
93,1.0,43.581552168617506,34.442865424921514
94,1.0,42.36191481506629,35.53767779197438
95,1.0,41.63033912953405,36.30676985146822
96,1.0000000000000002,39.362689571388174,36.1351417259168
97,1.0000000000000002,37.377875512778395,36.393134797220775
98,1.0000000000000002,34.24486773224515,38.34367937470762
99,1.0000000000000002,31.813701249719696,39.45873853875603
100,0.9999999999999999,28.28896738128219,43.05691893070283
101,0.9999999999999999,25.580385059278033,46.05118074954373
102,1.0,22.585688418658354,48.69138598645127
103,1.0,19.73392312381932,55.4231593425862
104,1.0000000000000002,17.861862473475824,59.379750777520904
105,1.0,16.724642303692317,66.6270688995933
106,1.0,14.24643327149717,74.36316135584865
107,0.9999999999999997,13.85086722869345,84.27043475077221
108,1.0,13.2914021662317,94.31176190198241
109,1.0000000000000002,14.633624859064541,104.03624346792647
110,0.9999999999999998,14.771841921458863,109.58071166109713
111,0.9999999999999999,14.226608705056732,116.8795719675592
112,1.0,13.899635355490146,124.59228868750992
113,1.0,13.8521479441398,131.71153898822502
114,1.0000000000000002,15.715660256493756,137.6557653629379
115,1.0000000000000002,16.72464230369234,141.4454180362597
116,0.9999999999999998,19.48338338035026,146.95187513002477
117,0.9999999999999999,21.379005334249012,151.6726657472684
118,0.9999999999999999,22.075090653127674,153.94161435423402
119,1.0,22.83397185759255,158.5106171840891
120,0.9999999999999997,23.695903234846792,162.77251177354904
121,1.0,26.349424319135245,163.68614757373948
122,1.0000000000000002,30.413699600991887,165.8650747780342
123,1.0000000000000002,35.44932943510865,168.12361053533255
